ENTITY NAME,ENTITY ID,EXCHANGE,INDUSTRY CLASSIFICATION(GICS),DIVIDEND YIELD 2019(%),DIVIDEND YIELD 2020(%),DIVIDEND YIELD 2021(%),DIVIDEND YIELD 2022(%),DIVIDEND YIELD 2023(%),MARKET CAP(HK$M),CURRENT ROE(%),ROE 2019(%),ROE 2020(%),ROE 2021(%),ROE 2022(%),ROE 2023(%),DIVIDEND PAYOUT RATIO 2019(%),DIVIDEND PAYOUT RATIO 2020(%),DIVIDEND PAYOUT RATIO 2021(%),DIVIDEND PAYOUT RATIO 2022(%),DIVIDEND PAYOUT RATIO 2023(%),DAY CLOSE PRICE 1/2/2019(HK$),DAY CLOSE PRICE 12/31/2019(HK$),PRICE CHANGE IN 2019(%),DAY CLOSE PRICE 1/2/2020(HK$),DAY CLOSE PRICE 12/31/2020(HK$),PRICE CHANGE IN 2020(%),DAY CLOSE PRICE 1/4/2021(HK$),DAY CLOSE PRICE 12/31/2021(HK$),PRICE CHANGE IN 2021(%),DAY CLOSE PRICE 1/3/2022(HK$),DAY CLOSE PRICE 12/30/2022(HK$),PRICE CHANGE IN 2022(%),DAY CLOSE PRICE 1/3/2023(HK$),DAY CLOSE PRICE 12/29/2023(HK$),PRICE CHANGE IN 2023(%),,,,DIVIDEND YIELD (%),PRICE CHANGE (%),,DIVIDEND PAYOUT RATIO (%),PRICE CHANGE (%)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.30,-13.04,,67.12,-13.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,44.57,,113.24,44.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.05,-44.68,,103.59,-44.68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.92,35.48,,222.15,35.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75,14.49,,72.45,14.49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.88,-17.08,,14.60,-17.08
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,100.96,,15.52,100.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33,7.83,,39.86,7.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25,-26.99,,39.16,-26.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48,48.41,,NA,48.41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,-18.49,,29.61,-18.49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.34,-14.84,,44.28,-14.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.40,-24.76,,28.24,-24.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.18,-28.83,,25.94,-28.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.96,15.95,,35.86,15.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.74,36.67,,55.43,36.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39,-3.88,,110.58,-3.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,58.54,,20.81,58.54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,31.64,,27.38,31.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,7.39,,32.65,7.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.67,-6.79,,38.89,-6.79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,510.28,,15.02,510.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,7.37,,25.08,7.37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.76,-19.67,,50.34,-19.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,69.87,,40.81,69.87
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.01,-3.02,,25.99,-3.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,99.58,,205.62,99.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,58.16,,18.09,58.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.90,-19.62,,NM,-19.62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89,13.40,,33.65,13.40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,14.34,,31.03,14.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.16,-14.77,,84.28,-14.77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29,-12.40,,41.55,-12.40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39,-28.90,,44.25,-28.90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.24,-3.85,,45.58,-3.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,-30.11,,NM,-30.11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.50,-11.25,,65.04,-11.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,-1.13,,NM,-1.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.72,18.34,,NM,18.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.01,-17.57,,65.77,-17.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.68,-14.96,,75.84,-14.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.95,-20.92,,85.31,-20.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.94,-0.36,,63.44,-0.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.20,-1.68,,103.59,-1.68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.00,-8.55,,100.62,-8.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58,63.21,,60.70,63.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.21,-33.90,,164.78,-33.90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.71,-16.86,,31.27,-16.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.80,-20.17,,123.90,-20.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,11.95,,91.92,11.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,-14.29,,63.40,-14.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,8.72,,NM,8.72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.63,-14.25,,20.10,-14.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,24.82,,17.96,24.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.87,-21.60,,98.38,-21.60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.23,17.33,,41.65,17.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,30.02,,14.09,30.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.16,29.45,,32.98,29.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.63,-17.35,,117.65,-17.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.22,-4.83,,37.56,-4.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.94,4.96,,33.28,4.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55,-42.68,,18.54,-42.68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84,36.31,,59.98,36.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,131.24,,22.24,131.24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11,-24.49,,61.52,-24.49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.07,-14.22,,NM,-14.22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,7.21,,37.24,7.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.07,22.37,,44.07,22.37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.42,-1.23,,49.79,-1.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.88,-17.80,,74.55,-17.80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31,204.71,,30.31,204.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75,-23.46,,91.68,-23.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.24,-29.45,,38.18,-29.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60,41.77,,49.76,41.77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.31,-16.99,,128.17,-16.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84,-5.56,,NM,-5.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88,-8.04,,26.75,-8.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.65,-15.65,,474.42,-15.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01,17.99,,69.79,17.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,2.57,,41.63,2.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.07,-35.23,,341.46,-35.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,105.57,,132.81,105.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,-10.98,,NM,-10.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,82.49,,15.64,82.49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.89,1.30,,NM,1.30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.01,-38.93,,147.73,-38.93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.59,-38.73,,40.62,-38.73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.22,-18.13,,29.89,-18.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.67,-26.51,,97.46,-26.51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.57,-14.62,,37.89,-14.62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.54,-11.56,,82.05,-11.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,30.04,,37.70,30.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,91.27,,33.61,91.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.70,-8.51,,39.05,-8.51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,-14.96,,42.37,-14.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64,-0.11,,53.92,-0.11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53,-29.89,,36.26,-29.89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.79,-36.63,,87.28,-36.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.23,-27.21,,82.02,-27.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.77,-15.82,,42.83,-15.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,32.52,,50.57,32.52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25,14.29,,121.49,14.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.90,7.06,,79.68,7.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.65,-26.53,,160.26,-26.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,2.27,,42.84,2.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45,-11.40,,225.32,-11.40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.87,-7.32,,30.22,-7.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.32,-30.42,,58.06,-30.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.41,-17.93,,21.60,-17.93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46,-33.47,,25.95,-33.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67,4.06,,32.27,4.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,18.71,,14.47,18.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93,74.38,,77.40,74.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,-31.78,,54.39,-31.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.90,-16.17,,NA,-16.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95,-15.61,,60.96,-15.61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48,34.29,,85.29,34.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,22.09,,16.35,22.09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.47,-41.02,,NM,-41.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95,-12.26,,130.00,-12.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,70.81,,32.67,70.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,47.49,,6.47,47.49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.08,-6.65,,41.29,-6.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93,-20.32,,98.49,-20.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,-2.14,,18.23,-2.14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32,4.35,,31.50,4.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,33.05,,48.56,33.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50,163.23,,20.50,163.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09,203.57,,16.32,203.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48,0.15,,41.00,0.15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.61,-38.37,,43.83,-38.37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,27.47,,32.30,27.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.29,-35.66,,5.02,-35.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,-1.99,,231.85,-1.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,-2.98,,0.64,-2.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,56.15,,33.83,56.15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.38,-4.48,,84.21,-4.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,7.47,,82.94,7.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,59.80,,22.71,59.80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.83,-21.53,,88.46,-21.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.10,-10.06,,32.56,-10.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85,-21.31,,72.34,-21.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24,-13.97,,NM,-13.97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.86,-18.98,,29.31,-18.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,146.95,,106.19,146.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,109.38,,29.46,109.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,252.79,,9.73,252.79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62,-6.30,,54.40,-6.30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36,-35.17,,51.31,-35.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.23,-12.80,,118.68,-12.80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,143.39,,23.01,143.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.79,-14.75,,37.78,-14.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.93,-9.28,,63.72,-9.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,74.02,,16.84,74.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,14.00,,21.60,14.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,119.50,,72.24,119.50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.37,-4.63,,30.21,-4.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,-20.24,,30.39,-20.24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,-48.68,,39.62,-48.68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.58,-19.52,,35.36,-19.52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.40,32.08,,34.32,32.08
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,-7.95,,31.23,-7.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.92,-13.99,,42.78,-13.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,-19.55,,70.19,-19.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89,14.33,,19.52,14.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.46,7.66,,30.09,7.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.09,-7.66,,30.54,-7.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.08,15.44,,30.65,15.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62,0.86,,29.91,0.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24,6.11,,14.50,6.11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.54,-2.26,,42.92,-2.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.27,-0.78,,23.90,-0.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,63.86,,33.05,63.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09,-10.36,,28.08,-10.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.86,6.46,,49.07,6.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95,17.46,,51.47,17.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,19.44,,79.91,19.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,-31.29,,23.51,-31.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.40,21.18,,18.27,21.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21,-24.32,,31.31,-24.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.08,43.64,,127.80,43.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19,-12.69,,NM,-12.69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.45,75.00,,24.63,75.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.80,-2.07,,186.27,-2.07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.03,3.36,,29.38,3.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.58,90.68,,43.47,90.68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05,28.88,,135.90,28.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.26,14.80,,29.95,14.80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,-0.13,,14.18,-0.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.24,-6.41,,29.05,-6.41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,160.14,,33.82,160.14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.89,4.42,,23.43,4.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15,-15.82,,44.11,-15.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,73.68,,112.16,73.68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.59,38.80,,31.60,38.80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.48,12.13,,43.49,12.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.89,-6.67,,23.01,-6.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.40,-47.23,,24.90,-47.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.54,13.83,,45.34,13.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.95,-24.44,,34.51,-24.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.34,-18.96,,67.82,-18.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,111.63,,12.72,111.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.30,44.03,,38.27,44.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,-7.53,,21.31,-7.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.14,49.16,,14.26,49.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.24,6.73,,49.84,6.73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.93,6.46,,28.07,6.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59,41.55,,19.12,41.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02,3.96,,259.02,3.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.96,0.25,,20.02,0.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.39,11.88,,26.96,11.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,104.70,,24.05,104.70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.46,2.83,,48.78,2.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.96,214.37,,NM,214.37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.56,-7.41,,33.43,-7.41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,-13.72,,27.93,-13.72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.85,-31.19,,52.14,-31.19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,4.88,,32.98,4.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.63,5.81,,30.27,5.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.38,-10.35,,20.00,-10.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51,212.57,,169.23,212.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75,68.93,,38.73,68.93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.80,25.38,,69.94,25.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.42,29.27,,81.39,29.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02,113.44,,33.32,113.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.70,126.02,,85.63,126.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.74,-23.68,,22.00,-23.68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.81,24.40,,32.52,24.40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13,-21.82,,53.68,-21.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.24,-12.75,,60.48,-12.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86,83.88,,29.08,83.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23,106.59,,8.97,106.59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.70,-10.65,,28.57,-10.65
